site,visit,species,count,distance,notes,collar
ROHRSALMD1,3,squirrel,0,,,
ROHRSALMD1,3,dog,0,,,
ROHRSALMD1,4,cat,0,,,
ROHRSALMD1,4,squirrel,0,,,
ROHRSALMD1,4,dog,1,45,,
ROHRSALMD1,5,cat,0,,,
ROHRSALMD1,5,squirrel,1,25,,
ROHRSALMD1,5,dog,0,,,
ROHRSALMD1,6,cat,0,,,
ROHRSALMD1,6,squirrel,0,,,
ROHRSALMD1,6,dog,0,,,
SALOSHEMD1,1,cat,0,,,
SALOSHEMD1,2,cat,0,,,
SALOSHEMD1,3,cat,0,,,
SALOSHEMD1,3,squirrel,0,,,
SALOSHEMD1,3,dog,0,,,
SALOSHEMD1,4,cat,0,,,
SALOSHEMD1,4,squirrel,0,,,
SALOSHEMD1,4,dog,0,,,
SALOSHEMD1,5,cat,0,,,
SALOSHEMD1,5,squirrel,0,,,
SALOSHEMD1,5,dog,0,,,
SALOSHEMD1,6,cat,0,,,
SALOSHEMD1,6,squirrel,0,,,
SALOSHEMD1,6,dog,0,,,
SCHLROBMD1,1,cat,0,,,
SCHLROBMD1,2,cat,0,,,
SCHLROBMD1,3,cat,0,,,
SCHLROBMD1,3,squirrel,0,,,
SCHLROBMD1,3,dog,0,,,
SCHLROBMD1,4,cat,0,,,
SCHLROBMD1,4,squirrel,0,,,
SCHLROBMD1,4,dog,0,,,
SCHLROBMD1,5,cat,0,,,
SCHLROBMD1,5,squirrel,0,,,
SCHLROBMD1,5,dog,0,,,
SCHLROBMD1,6,cat,0,,,
SCHLROBMD1,6,squirrel,0,,,
SCHLROBMD1,6,dog,0,,,
SILLSCOMD1,1,cat,0,,,
SILLSCOMD1,2,cat,0,,,
SILLSCOMD1,3,cat,0,,,
SILLSCOMD1,4,cat,0,,,
SILLSCOMD1,5,cat,1,11,Sammy,N
SILLSCOMD1,5,cat,1,12,Sport,N
SILLSCOMD1,5,squirrel,0,,,
SILLSCOMD1,5,dog,0,,,
SILLSCOMD1,6,cat,1,14,Sammy,N
SILLSCOMD1,6,squirrel,0,,,
SILLSCOMD1,6,dog,0,,,
STANJEFMD1,1,cat,0,,,
STANJEFMD1,2,cat,0,,,
STANJEFMD1,3,cat,0,,,
STANJEFMD1,3,squirrel,0,,,
STANJEFMD1,3,dog,0,,,
STANJEFMD1,4,cat,0,,,
STANJEFMD1,4,squirrel,1,12,,
STANJEFMD1,4,squirrel,1,12,,
STANJEFMD1,4,squirrel,1,5,,
STANJEFMD1,4,dog,0,,,
STANJEFMD1,5,cat,0,,,
STANJEFMD1,5,squirrel,1,10,,
STANJEFMD1,5,squirrel,1,1,,
STANJEFMD1,5,dog,0,,,
STANJEFMD1,6,cat,0,,,
STANJEFMD1,6,squirrel,1,10,,
STANJEFMD1,6,dog,0,,,
STEWBETMD1,1,cat,0,,,
STEWBETMD1,2,cat,0,,,
STEWBETMD1,3,cat,0,,,
STEWBETMD1,3,squirrel,0,,,
STEWBETMD1,3,dog,0,,,
STEWBETMD1,4,cat,0,,,
STEWBETMD1,4,squirrel,1,22,,
STEWBETMD1,4,dog,1,25,,
STEWBETMD1,5,cat,0,,,
STEWBETMD1,5,squirrel,0,,,
STEWBETMD1,5,dog,0,,,
STEWBETMD1,6,cat,0,,,
STEWBETMD1,6,squirrel,0,,,
STEWBETMD1,6,dog,0,,,
STUECHRVA2,1,cat,0,,,
STUECHRVA2,2,cat,0,,,
STUECHRVA2,3,cat,0,,,
STUECHRVA2,4,cat,0,,,
STUECHRVA2,4,squirrel,0,,,
STUECHRVA2,4,dog,0,,,
